OLD,NEW,TYPE
10,12,B
12,10,B
13,18,B
14,13,B
15,14,B
16,17,B
17,16,B
18,15,B
21,22,B
22,21,B
23,26,B
24,27,B
25,30,B
26,29,B
27,28,B
28,23,B
29,24,B
30,25,B
z,rotz,A
