OLD,NEW,TYPE
4,18,B
5,4,B
6,5,B
7,6,B
8,7,B
9,8,B
10,9,B
11,10,B
12,11,B
13,12,B
14,13,B
15,14,B
16,15,B
17,18,B
z,rz,A
