OLD,NEW,TYPE
1,4,B
2,5,B
3,6,B
4,7,B
5,37,B
6,38,B
7,39,B
8,40,B
9,41,B
10,42,B
11,18,B
12,17,B
13,20,B
14,19,B
15,22,B
16,21,B
17,23,B
18,24,B
19,25,B
20,26,B
21,27,B
22,28,B
23,30,B
24,29,B
25,32,B
26,31,B
27,33,B
28,34,B
29,35,B
30,36,B
31,8,B
32,10,B
33,9,B
34,11,B
35,13,B
36,12,B
37,14,B
38,16,B
39,15,B
41,1,B
42,2,B
43,3,B
